Date,Ticker,Close
2016-01-01,AOA,34.324764251708984
2016-02-01,AOA,34.08517837524414
2016-03-01,AOA,36.1855583190918
2016-04-01,AOA,36.4091682434082
2016-05-01,AOA,36.64875030517578
2016-06-01,AOA,36.63277816772461
2016-07-01,AOA,37.599117279052734
2016-08-01,AOA,38.03075408935547
2016-09-01,AOA,38.25636672973633
2016-10-01,AOA,37.52315139770508
2016-11-01,AOA,37.81932067871094
2016-12-01,AOA,38.15871810913086
2017-01-01,AOA,39.233070373535156
2017-02-01,AOA,40.1858024597168
2017-03-01,AOA,40.66624069213867
2017-04-01,AOA,41.195533752441406
2017-05-01,AOA,42.05160903930664
2017-06-01,AOA,42.280208587646484
2017-07-01,AOA,42.85166931152344
2017-08-01,AOA,43.388031005859375
2017-09-01,AOA,44.07907485961914
2017-10-01,AOA,44.70431900024414
2017-11-01,AOA,45.5698127746582
2017-12-01,AOA,44.455928802490234
2018-01-01,AOA,48.08913040161133
2018-02-01,AOA,46.28137969970703
2018-03-01,AOA,45.83589172363281
2018-04-01,AOA,45.810184478759766
2018-05-01,AOA,46.129093170166016
2018-06-01,AOA,45.879940032958984
2018-07-01,AOA,46.61882781982422
2018-08-01,AOA,47.3750114440918
2018-09-01,AOA,47.36635208129883
2018-10-01,AOA,44.2449951171875
2018-11-01,AOA,45.0508918762207
2018-12-01,AOA,42.22433853149414
2019-01-01,AOA,45.299034118652344
2019-02-01,AOA,46.210105895996094
2019-03-01,AOA,46.884647369384766
2019-04-01,AOA,48.08478546142578
2019-05-01,AOA,46.03858947753906
2019-06-01,AOA,48.473236083984375
2019-07-01,AOA,47.92829513549805
2019-08-01,AOA,47.91844940185547
2019-09-01,AOA,48.75288772583008
2019-10-01,AOA,49.605098724365234
2019-11-01,AOA,50.71461868286133
2019-12-01,AOA,51.658729553222656
2020-01-01,AOA,51.58526611328125
2020-02-01,AOA,48.411746978759766
2020-03-01,AOA,42.66707992553711
2020-04-01,AOA,46.21815490722656
2020-05-01,AOA,48.26704025268555
2020-06-01,AOA,49.512054443359375
2020-07-01,AOA,51.199161529541016
2020-08-01,AOA,54.030879974365234
2020-09-01,AOA,52.66876220703125
2020-10-01,AOA,51.51548767089844
2020-11-01,AOA,56.655513763427734
2020-12-01,AOA,58.44021987915039
2021-01-01,AOA,58.64466094970703
2021-02-01,AOA,59.74460220336914
2021-03-01,AOA,61.348663330078125
2021-04-01,AOA,63.31019973754883
2021-05-01,AOA,64.36297607421875
2021-06-01,AOA,64.86797332763672
2021-07-01,AOA,65.06078338623047
2021-08-01,AOA,66.73461151123047
2021-09-01,AOA,64.4451904296875
2021-10-01,AOA,66.9100112915039
2021-11-01,AOA,65.807373046875
2021-12-01,AOA,67.37094116210938
2022-01-01,AOA,65.28019714355469
2022-02-01,AOA,63.58315658569336
2022-03-01,AOA,64.28248596191406
2022-04-01,AOA,59.6575813293457
2022-05-01,AOA,60.148433685302734
2022-06-01,AOA,55.979644775390625
2022-07-01,AOA,58.858543395996094
2022-08-01,AOA,57.03639602661133
2022-09-01,AOA,52.275508880615234
2022-10-01,AOA,54.754940032958984
2022-11-01,AOA,58.97545623779297
2022-12-01,AOA,56.52524948120117
2023-01-01,AOA,60.66315460205078
2023-02-01,AOA,58.83525848388672
2023-03-01,AOA,60.53938293457031
2023-04-01,AOA,61.0915641784668
2023-05-01,AOA,60.5805778503418
2023-06-01,AOA,63.33987045288086
2023-07-01,AOA,64.65747833251953
2023-08-01,AOA,63.61775207519531
2023-09-01,AOA,61.07805633544922
2023-10-01,AOA,59.31757354736328
2023-11-01,AOA,64.20274353027344
2023-12-01,AOA,66.6646499633789
2024-01-01,AOA,67.34241485595703
2024-02-01,AOA,69.5735092163086
2024-03-01,AOA,71.57078552246094
2024-04-01,AOA,69.04739379882812
2024-05-01,AOA,71.99653625488281
2024-06-01,AOA,73.06147766113281
2024-07-01,AOA,74.00918579101562
2024-08-01,AOA,76.1391372680664
2024-09-01,AOA,77.6646728515625
2024-10-01,AOA,75.60765838623047
2024-11-01,AOA,78.36429595947266
2024-12-01,AOA,75.65833282470703
2025-01-01,AOA,78.2370834350586
2016-01-01,AOM,26.69832992553711
2016-02-01,AOM,26.730195999145508
2016-03-01,AOM,27.72610855102539
2016-04-01,AOM,27.813745498657227
2016-05-01,AOM,27.9252872467041
2016-06-01,AOM,28.124475479125977
2016-07-01,AOM,28.61844253540039
2016-08-01,AOM,28.844512939453125
2016-09-01,AOM,28.948781967163086
2016-10-01,AOM,28.371253967285156
2016-11-01,AOM,28.247739791870117
2016-12-01,AOM,28.368528366088867
2017-01-01,AOM,28.83114242553711
2017-02-01,AOM,29.341794967651367
2017-03-01,AOM,29.4633731842041
2017-04-01,AOM,29.69843292236328
2017-05-01,AOM,30.257932662963867
2017-06-01,AOM,30.323017120361328
2017-07-01,AOM,30.526411056518555
2017-08-01,AOM,30.91611099243164
2017-09-01,AOM,31.104522705078125
2017-10-01,AOM,31.260169982910156
2017-11-01,AOM,31.665496826171875
2017-12-01,AOM,31.295291900634766
2018-01-01,AOM,32.43857192993164
2018-02-01,AOM,31.68438148498535
2018-03-01,AOM,31.650850296020508
2018-04-01,AOM,31.39944839477539
2018-05-01,AOM,31.70672607421875
2018-06-01,AOM,31.58888053894043
2018-07-01,AOM,31.790882110595703
