Month Number,ConsolidatedCIFSC,total_net_assets,total_gross_sales,total_redemptions,normalized_value,Ticker,Close,CloseNormalized,PercentMonthlyChange
1,Money Market,26807321430.0,1884895860.0,1729899001.44,1.0,BIL,76.78650665283203,1.0,
2,Money Market,26831402730.0,1917091940.0,1668301210.0,1.000898310562765,BIL,76.78650665283203,1.0,0.0
4,Money Market,25586715610.0,1507052880.0,2018058010.0,0.9544674456496044,BIL,76.82012176513672,1.0004377736892847,0.0004377736892846096
5,Money Market,25767682650.0,1961289780.0,1627424100.0,0.9612181029456922,BIL,76.82012176513672,1.0004377736892847,0.0
6,Money Market,25389232880.0,1678538450.0,1937029610.0,0.9471006995718334,BIL,76.80330657958984,1.0002187874861108,-0.00021889037872504697
8,Money Market,25410880210.0,1542346510.72,1362687270.0,0.9479082151625472,BIL,76.8369140625,1.000656461816864,0.0
9,Money Market,25404806310.0,1609004730.0,1484593080.0,0.9476816390006632,BIL,76.85371398925781,1.0008752493029751,0.0002186439547031685
10,Money Market,25526059690.0,1711370190.0,1495449910.0,0.952204783184114,BIL,76.87053680419922,1.0010943348646801,0.00021889397490611385
11,Money Market,25523034130.0,1867508490.0,1811298420.0,0.9520919199870987,BIL,76.8369140625,1.000656461816864,-0.00043739439188334166
12,Money Market,25739809770.0,2289476250.0,1837650870.0,0.9601783541564376,BIL,76.80330657958984,1.0002187874861108,-0.00043738720275543014
13,Money Market,25400437090.0,1833782170.0,1889117280.0,0.947518652929436,BIL,76.88739013671875,1.0013138178605108,0.0010947908478624161
14,Money Market,25394466380.0,1890692190.0,1592478850.0,0.947295926089099,BIL,76.9041748046875,1.001532406629559,0.000218301960034071
15,Money Market,25945616730.0,2774331230.0,1855742300.0,0.9678556210007736,BIL,76.89240264892578,1.001379096415631,-0.00015307563980260287
16,Money Market,25777061090.0,1885463870.0,1852747440.0,0.9615679491630582,BIL,76.94622039794922,1.0020799714960245,0.0006999098372456613
17,Money Market,25614964810.0,2083212070.0,1888508500.0,0.9555212323949068,BIL,76.9529800415039,1.0021680031548321,8.784893552572284e-05
18,Money Market,25426364080.0,1800422790.0,1680834070.0,0.9484858137130188,BIL,77.01529693603516,1.002979563639189,0.0008098048249416713
19,Money Market,25641393110.0,2027890360.0,1393178030.0,0.9565070936667618,BIL,77.04395294189453,1.0033527542830731,0.0003720820018804208
20,Money Market,25783883480.0,1852271770.0,1495819580.0,0.9618224464285836,BIL,77.11980438232422,1.0043405768021079,0.0009845216598231088
21,Money Market,25626956810.0,1828532380.0,1702244710.0,0.9559685728735636,BIL,77.17377471923828,1.005043439053129,0.0006998246085597236
22,Money Market,25493767110.0,1876168100.0,1855700850.0,0.9510001652559736,BIL,77.22949981689453,1.0057691537663689,0.0007220729821624049
23,Money Market,25648732490.0,2160318010.0,1808695880.0,0.9567808763353944,BIL,77.26667785644531,1.0062533278898107,0.00048139687087094506
24,Money Market,25850444320.0,2564307040.0,1982874200.0,0.9643053815541168,BIL,77.25823974609375,1.0061434373540983,-0.00010920762462752399
25,Money Market,25627417500.0,2481678790.0,2327946110.0,0.9559857581041434,BIL,77.48493194580078,1.0090956773971562,0.0029342138838788783
26,Money Market,26461666490.0,2910084530.0,2067638930.0,0.9871059501076008,BIL,77.47647094726562,1.0089854887858496,-0.00010919540512824553
27,Money Market,26375890710.0,2430125500.0,2279784220.0,0.9839062354242828,BIL,77.58324432373047,1.0103760114325901,0.0013781393906999078
28,Money Market,26485823660.0,2087757590.0,1800733300.0,0.98800709086734,BIL,77.64179992675781,1.011138588160974,0.0007547454806479817
29,Money Market,26759379170.0,2433876870.0,2071097260.0,0.9982115982708236,BIL,77.7564468383789,1.012631648812104,0.0014766132641083043
30,Money Market,27245468010.0,2608870650.0,2054200720.0,1.0163442879268674,BIL,77.85592651367188,1.01392718470284,0.001279375271606003
31,Money Market,27101750450.0,2157123570.0,2199164110.0,1.0109831569994348,BIL,77.96321868896484,1.0153244637297145,0.0013780861663001047
32,Money Market,27485746160.0,2309268200.0,1830314380.0,1.025307441915505,BIL,78.0799789428711,1.0168450466940386,0.0014976325486517736
33,Money Market,27439288050.0,2093203090.0,2051408280.0,1.0235744037930163,BIL,78.1867446899414,1.0182354699822476,0.0013673895474335357
34,Money Market,28197995990.0,2852325160.0,2274782170.0,1.051876669723656,BIL,78.31327056884766,1.019883231866745,0.0016182522933778996
36,Money Market,30296148180.0,3503298570.0,2693999120.0,1.1301445487237551,BIL,78.45547485351562,1.0217351755332398,4.862247188672987e-07
38,Money Market,29808664090.0,2571384070.0,2269671590.0,1.111959811719242,BIL,78.85690307617188,1.0269630240206205,-0.00010883174969432789
39,Money Market,30522598380.0,2790627790.0,2186101420.0,1.1385918753464956,BIL,79.00260925292969,1.0288605732530212,0.0018477288743772695
40,Money Market,30698488360.0,2865886080.0,2536702490.0,1.145153141844504,BIL,79.14949035644531,1.0307734236992552,0.0018591930684894202
41,Money Market,31296193380.0,2631928440.0,1992098590.0,1.1674494768797197,BIL,79.31916809082031,1.0329831574372692,0.0021437628165496174
42,Money Market,31158055920.0,2183019960.0,2094684450.0,1.1622965017732472,BIL,79.46146392822266,1.0348362934061406,0.0017939653280202744
43,Money Market,31255105210.0,2456566430.0,2163147190.0,1.1659167549288418,BIL,79.6143798828125,1.0368277364507006,0.0019244039441303567
44,Money Market,32662175650.0,2901579040.0,1958344480.0,1.2184050441327514,BIL,79.75804138183594,1.0386986575966901,0.0018044667211488483
45,Money Market,33565316280.0,2788994130.0,1999586980.0,1.2520951176583106,BIL,79.87578582763672,1.0402320578115627,0.001476270527219796
46,Money Market,34132715060.0,3471220513.11,2629402710.0,1.2732609316871983,BIL,80.0312728881836,1.0422569846811998,0.0019466107148216258
48,Money Market,35875611950.0,3678630140.0,2458508670.0,1.3382766362420566,BIL,80.1240005493164,1.0434645882716593,9.789557836717223e-05
50,Money Market,37598484080.0,4042073342.75,2997318510.0,1.4025453523276532,BIL,80.42410278320312,1.0473728561037088,0.0
53,Money Market,43834356410.0,4020196960.0,2657278980.0,1.6351636072429487,BIL,80.64147186279297,1.0502036800214138,0.00024017485638007282
54,Money Market,43535841580.0,3454642260.0,3447792510.0,1.624028036284116,BIL,80.65380859375,1.0503643427666642,0.00015298246264678204
55,Money Market,44013141960.0,3501986290.0,2791895980.0,1.641832887889538,BIL,80.66261291503906,1.050479002511883,0.00010916187893134115
56,Money Market,43954597870.0,2372475750.0,2543120120.0,1.6396490035297049,BIL,80.66261291503906,1.050479002511883,0.0
57,Money Market,43942447300.0,2827616870.0,3064922340.0,1.6391957478759562,BIL,80.64501953125,1.050249881738508,-0.0002181107597840079
58,Money Market,43889986010.0,2833480490.0,2782258230.0,1.6372387716768613,BIL,80.65380859375,1.0503643427666642,0.00010898456657443343
60,Money Market,41914610260.0,4044357230.0,3917753500.0,1.5635508519360488,BIL,80.64501953125,1.050249881738508,0.0
62,Money Market,38561448720.0,2702245262.33,3091438810.0,1.4384670553786096,BIL,80.63884735107422,1.0501695006866172,-0.00010898103020562506
63,Money Market,36895172140.0,3040537012.67,3973007610.0,1.3763095367935834,BIL,80.62999725341797,1.05005424479021,-0.00010974980356204341
65,Money Market,34267736190.0,2405840251.6,2595548120.0,1.2782976575813751,BIL,80.62117767333984,1.0499393863279283,-0.00010938336076591061
66,Money Market,33461453320.0,2686684050.0,3029626640.0,1.248220692521461,BIL,80.60356903076172,1.0497100668374906,-0.00021841212304627374
68,Money Market,33368255210.0,2415264390.0,2115008040.0,1.2447441008655822,BIL,80.58594512939453,1.0494805486299899,-0.00010924187182255484
69,Money Market,33469001300.0,2686336670.0,2157925080.0,1.248502256646385,BIL,80.5947494506836,1.049595208375209,0.00010925380691292575
73,Money Market,33565678210.0,3414083700.0,2736865360.0,1.2521086188207056,BIL,80.56834411621094,1.0492513284980836,0.0
74,Money Market,33950358780.0,2991749960.0,2256164850.0,1.2664584512351258,BIL,80.55071258544922,1.0490217109320517,-0.0002188394332181783
76,Money Market,34764730950.0,2821937310.0,2478725760.0,1.2968371734109505,BIL,80.57888793945312,1.0493886419884584,0.00013086806434769467
78,Money Market,37451123690.0,4184872940.0,2319580430.0,1.3970483320309857,BIL,80.6406021118164,1.0501923531488357,0.00043738329504375913
79,Money Market,39041660650.0,3611956780.0,2225185780.0,1.4563805172384208,BIL,80.65029907226562,1.050318637842227,0.00012024910771093855
81,Money Market,42535048010.0,4628162960.0,1933969210.0,1.5866951915008989,BIL,80.89755249023438,1.0535386491273688,0.0016085770624977862
83,Money Market,46863280270.0,4864680060.0,3138376140.0,1.7481522871418045,BIL,81.21990966796875,1.0577367457954698,0.002569792027381983
84,Money Market,50571330570.0,6940640970.0,3325323000.0,1.8864745850141436,BIL,81.22716522216797,1.0578312357588175,8.93322121248329e-05
86,Money Market,55107052130.0,5779968680.0,2783288240.0,2.055671704235614,BIL,81.91431427001953,1.0667800612465859,-0.0002182695120046835
87,Money Market,57833326030.0,6571387680.0,3233447140.0,2.157370559420341,BIL,82.31407165527344,1.0719861502155932,0.004880189608084367
88,Money Market,60078722130.0,4614218660.0,2512902910.0,2.2411311136354737,BIL,82.50763702392578,1.074506975515375,0.0023515465188380462
89,Money Market,62427900150.0,5074793120.0,2832455980.0,2.3287630699327204,BIL,82.83423614501953,1.0787603155269265,0.003958410795343005
90,Money Market,64735281350.0,5276256180.0,2875652200.0,2.4148358693366108,BIL,83.19935607910156,1.0835153167634435,0.0044078384865263755
92,Money Market,67114836280.0,5410246310.0,2974511990.0,2.5036009828603007,BIL,83.91435241699219,1.0928268008907691,0.004734909297890041
93,Money Market,72496773790.0,5688898680.0,2916405110.0,2.7043647004907045,BIL,84.23934936523438,1.0970592756107296,0.003872960213375578
95,Money Market,76240418930.0,6204861180.0,4222137510.0,2.844014801295274,BIL,84.99556732177734,1.1069075938831312,0.004528273713316993
96,Money Market,76403314300.0,4776559360.0,4722726200.0,2.850091326711115,BIL,84.95660400390625,1.1064001698633452,-0.00045841588095513154
97,Money Market,75250674016.66002,5961503486.34,4750235355.49,2.8070941072257667,BIL,86.10578918457031,1.1213661480118209,0.013526731607718497
98,Money Market,77522222388.26,5114479043.690001,5330475871.179999,2.891830225958536,BIL,86.10578918457031,1.1213661480118209,0.0
99,Money Market,77486191605.61002,5085264198.119999,5166776582.790002,2.890486160952113,BIL,86.50724029541016,1.1265942945747958,0.004662301044350472
101,Money Market,77323748627.15999,5665170611.320001,4838835539.290001,2.8844265112077627,BIL,87.24696350097656,1.1362277997023418,0.004759493154834914
102,Money Market,81177724038.88,9270263904.829998,5553889356.309999,3.0281922888436825,BIL,87.57914733886719,1.1405538701588673,0.0038073971237624427
103,Money Market,81841163072.55,5813028363.370001,5195409094.66,3.0529407157017108,BIL,87.98633575439453,1.145856734337444,0.004649376340144335
104,Money Market,81336147691.25998,5023736920.7300005,5350510175.009999,3.0341020046947667,BIL,88.38299560546875,1.1510224837427088,0.004508198320492138
105,Money Market,82059460929.93,5343715044.530001,4741600870.670001,3.061083933514427,BIL,88.7620620727539,1.1559591123745983,0.004288907212166288
34,Global Fixed Income,186460554210.0,3123274510.0,4007899910.0,1.4127257525377412,BNDW,61.26804733276367,0.9953190222516708,-0.00468097774832917
35,Global Fixed Income,187492672980.0,3032504580.0,3846507160.0,1.420545641158336,BNDW,61.58750915527344,1.000508781721239,0.0052141668686563536
36,Global Fixed Income,186310914600.0,4146052590.0,4401686280.0,1.4115920021231168,BNDW,61.766273498535156,1.0034128656458063,0.0029026071311151905
37,Global Fixed Income,190553460250.0,4156495520.0,3293967060.0,1.4437358167838936,BNDW,63.26714324951172,1.0277949747238977,0.024299179244028007
38,Global Fixed Income,193543613720.0,4783846720.0,3715459398.07,1.466390832634332,BNDW,63.208526611328125,1.0268427286911865,-0.0009264941511966583
40,Global Fixed Income,201803392070.0,4420401160.0,3290814620.0,1.5289713694923142,BNDW,64.41067504882812,1.0463720145017044,-0.0001562101221553681
41,Global Fixed Income,203177404680.0,4566342850.0,3014306320.0,1.5393816302934935,BNDW,65.42476654052734,1.0628462550876623,0.015744152517117097
42,Global Fixed Income,206259253750.0,4377039000.0,2859280520.0,1.5627313814785089,BNDW,66.3673095703125,1.0781581680288508,0.014406517281208767
45,Global Fixed Income,215124401700.0,4452260580.0,2699867410.0,1.6298985250177105,BNDW,68.0747299194336,1.1058957576280386,-0.005848128488579448
46,Global Fixed Income,217982794710.0,4830642650.0,2794999700.0,1.6515552525395698,BNDW,68.01277923583984,1.1048893489614222,-0.0009100393592022855
48,Global Fixed Income,223626632070.01,4759044230.0,2990083440.0,1.6943160091800389,BNDW,66.85757446289062,1.0861226779939697,-0.014854488740166004
49,Global Fixed Income,230121604630.01,6305497350.0,3308259329.99,1.743525425275649,BNDW,69.14096069335938,1.1232170175277472,0.03415299236941577
51,Global Fixed Income,212458101770.01,5770263960.0,9475245180.0,1.609697198302548,BNDW,68.65362548828125,1.1153001012729706,-0.01710648866472438
52,Global Fixed Income,221650058210.01,4964286710.0,3284625400.0,1.6793404192723198,BNDW,69.89007568359375,1.1353866301087479,0.018009976698514698
53,Global Fixed Income,226656440690.01,3825344500.0,2908350220.0,1.7172714738404846,BNDW,70.33644104003906,1.1426379780704543,0.006386677251089226
54,Global Fixed Income,232059324720.01,5132718330.0,2731919580.0,1.7582066380605776,BNDW,70.77342224121094,1.14973687742872,0.006212728348355345
56,Global Fixed Income,243556369140.01,4207629880.0,2454097970.0,1.8453144491416908,BNDW,70.99738311767578,1.153375193488883,-0.0084090195888301
57,Global Fixed Income,244463625170.01,4530968180.0,3563252470.0,1.8521883102816863,BNDW,71.28751373291016,1.1580884581162334,0.004086497311506443
